Question,Answer
"สวัสดีครับ สอบถามเรื่องเอาวุฒิป.ตรี เทียบโอนครับ จบคณะบริหารธุรกิจจะต้องเรียน 1.5 หรือ 2 ปีครับ","สวัสดีค่ะ"
"ปัจจุบันทำธุรกิจด้านที่ปรึกษา ประสบการณ์ทำงานมา 20 ปีครับ","นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาลดระยะเวลาในการเรียนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากตอนนี้ทางมหาวิทยาลัยมีในส่วนของทุนส่วนลดค่าเทอมให้กับนักศึกษาในวัยทำงานอยู่นะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาทตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"ต้องไปเรียนที่พิษณุโลก ไม่มีศูนย์ที่กรุงเทพใข่ไหมครับ","รูปแบบการเรียนจะเป็นการเรียนออนไลน์และสอบออนไลน์เป็นหลักค่ะนักศึกษา"
"ผมรบกวนขอรายวิชาที่ต้องเรียนหน่อยนะครับ","อาจารย์ส่งโครงสร้างหลักสูตรให้นะคะนักศึกษา"
"ขอบคุณครับอาจารย์ เรียนออนไลน์และตอนสอบล่ะครับ","จะเป็นการสอบออนไลน์เช่นกันค่ะนักศึกษา"
"อาจารย์มีหลักสูตรแบบ 2 ปีให้ดูไหมครับ","จะมีเป็นตารางเรียนของภาคการเรียนที่ 1 ปีการศึกษา 2569 ค่ะนักศึกษา อาจารย์ทำการส่งให้นะคะ"
"เปิดเทอมวันที่เท่าไรครับอาจารย์","จะเริ่มเรียนในช่วงวันที่ 4 กรกฎาคม 2569ค่ะนักศึกษา"
"ขอบคุณครับ","อาจารย์ขออนุญาตสอบถามค่ะ ไม่ทราบว่านักศึกษาสนใจสมัครหรือไม่คะ เดี๋ยวอาจารย์จะทำการส่งฟอร์มการสมัครเรียนให้ค่ะ เนื่องจากมีนักศึกษาทำการสมัครเข้ามาเป็นจำนวนมากจึงทำให้โควต้าที่นั่งใกล้เต็มมากๆแล้วค่ะ หากโควต้าเต็มตามที่ อว. กำหนดจะทำการปิดรับสมัครทันทีนะคะ"
"สนใจครับ ขอฟอร์มไว้หน่อยนะครับ","อาจารย์ขออนุญาตส่งฟอร์มสมัครให้นะคะ"
"ไม่ทราบว่าตอนนี้ผมปรึกษากับท่านอาจาร์ยอะไรครับ","อาจารย์เป็นอาจารย์ฝ่ายรับสมัครชื่อพลอยค่ะนักศึกษา"
"ผมสนใจสมัครเรียนนะครับแต่ขอปรึกษาเยอะหน่อย","อาจารย์ยินดีให้คำปรึกษามากๆค่ะนักศึกษา"
"นิติเทอม 1 เรียนออนไลน์ไม่มีออนไซด์เลยหรือเปล่าครับ ผมอยู่กรุงเทพ ถ้ารู้ตารางว่าต้องไปพิษณุโลกจะได้วางตารางถูกครับ","จะมีเข้ามหาวิทยาลัยน้อยมากๆค่ะ หากมีการเข้ามหาวิทยาลัยจะมีการแจ้งล่วงหน้านะคะ และจะเป็นการนัดที่ตรงกับวันเสาร์-อาทิตย์ค่ะ หากนักศึกษาไม่สะดวกนักศึกษาสามารถแจ้งอาจารย์ผู้สอนได้เลยนะคะ อาจารย์ผู้สอนค่อนข้างยืดหยุ่นและเข้าใจนักศึกษามากๆค่ะ นักศึกษาไม่ต้องกังวลนะคะ"
"ขออนุญาตสอบถามครับหมดเขตสมัครไปรึยังครับ","สวัสดีค่ะ"
"ส่วนใหญ่ทหารเรียนสาขาไหนกันเยอะครับ","จะเป็น สาขา นิติศาสตร์ และ สาขา รัฐประศาสนศาสตร์ ค่ะนักศึกษา"
"ครับ เทียบโอนได้ใช่ไหมครับ พอดีเรียนปวส.ช่างกลมาครับ","อาจารย์ขออนุญาตสอบถามเพิ่มเติมค่ะ ไม่ทราบว่านักศึกษามีประสบการณ์ทำงานประมาณกี่ปีคะ"
"พึ่งบรรจุเป็นทหาร ลงหน่วย เมื่อ 4-5 เดือนนี้ครับ","นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาเทียบโอนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากนักศึกษารับราชการนักศึกษาจะได้รับทุนส่วนลดค่าเทอมนะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาท ตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"สักครู่นะครับ","รับทราบค่ะนักศึกษา หากนักศึกษาสนใจสมัครสามารถแจ้งอาจารย์ได้เลยนะคะ อาจารย์จะทำการส่งฟอร์มสมัครให้ค่ะ"
"ครับขอบคุณครับ","ยินดีค่ะนักศึกษา"
"ครูครับ สนใจสมัครครับ","สวัสดีค่ะ"
"ค่าสมัครเท่าไรครับ","เพิ่มป้ายอัตโนมัติแล้ว: ตั้งระยะข้อมูลของลูกค้าเป็น ""การรับข้อมูล"" แล้ว"
"ส.ต.พงศกร โคตะครับ","รับทราบค่ะนักศึกษา อาจารย์ดำเนินการให้นะคะ"
"เริ่มเรียนเมื่อไรครับ","จะเริ่มเรียนในภาคการเรียนที่ 1 ปีการศึกษา 2569 ในช่วงวันที่ 4 มิถุนายน ค่ะนักศึกษา"
"รับทราบครับ ขอบคุณครับ","ยินดีค่ะนักศึกษา หากนักศึกษาเข้ากลุ่มไลน์เรียบร้อยแล้วนักศึกษาสามารถแนะนำตัวในกลุ่มตามตัวอย่างที่อาจารย์ส่งให้ได้เลยนะคะ"
"รับทราบครับ พอดีจะปรึกษาว่าจะเอาสาขาอะไรอยู่ครับ","รับทราบค่ะนักศึกษา"
"ค่าใช้จ่ายค่าเทอมจ้างยังไงครับ","สวัสดีค่ะ"
"ไม่ได้เรียนออนไลน์เสาร์อาทิตย์หรอครับ","รูปแบบการเรียนจะเป็นการเรียนออนไลน์และสอบออนไลน์เป็นหลักในช่วงวันเสาร์-อาทิตย์ค่ะนักศึกษา"
"ทำไมเปิด 4 มิถุนาครับ","เบื้องต้นทางอาจารย์ฝ่ายหลักสูตรแจ้งว่าจะเปิดภาคเรียนที่ 1 ปีการศึกษา 2569 ในช่วงวันที่ 4 มิถุนายนค่ะนักศึกษา แต่กำหนดการอาจจะมีการเปลี่ยนแปลงได้ค่ะ หากมีการเปลี่ยนแปลงอาจารย์จะแจ้งให้นักศึกษาทราบอีกครั้งนะคะ"
"ครับขอบคุณครับ การเรียนจะเป็นทาง แอฟ zoomหรือmeet ครับ","ในส่วนนี้จะขึ้นอยู่กับทางอาจารย์ผู้สอนนะคะนักศึกษา ในช่วงก่อนใกล้ๆเปิดเรียนทางอาจารย์ผู้สอนจะแจ้งให้นักศึกษาทราบอีกครั้งนะคะ"
"ครับบ ขอบคุณครับบ","ยินดีค่ะนักศึกษา"
"ขออนุญาตครับ ผมขอชื่ออาจารย์ได้ไหมครับ","อาจารย์เป็นอาจารย์ฝ่ายรับสมัครนักศึกษา ชื่อ พลอย ค่ะนักศึกษา"
"ขอบคุณครับ","ยินดีค่ะนักศึกษา"
"กรอกแบบสมัคร หมดเขตเมื่อไรครับ","ก่"
"ครับบ ของผมเหลือ วุฒิ อย่างเดียวใช่ไหมครับ","ถูกต้องค่ะนักศึกษา"
"ครับขอบคุณครับ","ยินดีค่ะนักศึกษา"
"ครับขอบคุณครับ","ยินดีค่ะนักศึกษา"
"ครับขอบคุณครับ","ยินดีค่ะนักศึกษา"
"ภาคพิเศษนี้คืออะไรครับ","ภาคพิเศษคือ นักศึกษาที่ทำการสมัครเรียนในวันเสาร์-อาทิตย์ค่ะนักศึกษา อย่างกรณีของนักศึกษาจะเป็นนักศึกษา(ภาคพิเศษ)เสาร์-อาทิตย์ค่ะ และจะเริ่มเรียนในช่วงวันที่ 4 กรกฎาคมนี้นะคะ"
"ขอบคุณครับ","ยินดีค่ะนักศึกษา"
"เรียบร้อยครับ","ยินดีค่ะนักศึกษา"
"สิ้นเดือนนกรกฎาคมได้ไหมครับ","อาจารย์รบกวนนักศึกษาชำระค่าเทอมไม่เกินสิ้นเดือนมิถุนายนได้หรือไม่คะ"
"ได้ครับบ","รับทราบค่ะนักศึกษา"
"ที่นี้มีแจกไอแพดให้เรียนไหมครับบ","ในส่วนนี้จะสำหรับนักศึกษาภาคปกตินะคะนักศึกษา หากเป็นภาคพิเศษจะยังไม่มีนโยบายดังกล่าวค่ะ"
"ทำไมลงทะเบียนไม่ได้ครับ","สวัสดีค่ะ"
"ครับขอบคุณครับ","ยินดีค่ะนักศึกษา"
"ในกลุ่มเขาบอกให้เป็น 4 ปีครับ","จริงๆหลักสูตรเป็นหลักสูตร 4 ปีค่ะนักศึกษา แต่นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาลดระยะเวลาในการเรียนได้ ดังนั้นนักศึกษาจะใช้เวลาเรียนไม่เกิน 2 ปีแน่นอนค่ะ"
"แต่ก็ลง 4 ปีใช่ไหมครับ","เบื้องต้นนักศึกษาสามารถสอบถามกับทางฝ่ายหลักสูตรในกลุ่มอีกครั้งได้เลยนะคะ"
"เห็นเขาบอกเลือก 4 ปีครับ","อาจารย์รบกวนนักศึกษาแจ้งกับทางฝ่ายหลักสูตรอีกครั้งนะคะว่านักศึกษานำประสบการณ์ทำงานมาลดระยะเวลาในการเรียนค่ะ"
"ครับขอบคุณครับ","ยินดีค่ะนักศึกษา"
"อาจารย์ปุ๋ม ยังไม่ตอบครับ","รับทราบค่ะนักศึกษา เนื่องจากอาจารย์ปุ๋มมีการทำงานในหลายด้านหลายหลักสูตร เบื้องต้นอาจารย์รบกวนนักศึกษารอทางอาจารย์ปุ๋มแจ้งข้อมูลเพิ่มเติมอีกครั้งนะคะ"
"ครับขอบคุณครับ","ยินดีมากๆค่ะนักศึกษา"
"สวัสดีค่ะ ขอทราบรายละเอียดปริญญาตรี ใบที่2 คณะนิติศาสตร์ ค่าใช้จ่ายเท่าไหร่คะ","สวัสดีค่ะ"
"จบวุฒิวิทยาศาสตร์บัณฑิตค่ะ ปัจจุบันรับราชการตำรวจค่ะ","ไม่ทราบว่านักศึกษามีประสบการณ์ทำงานประมาณกี่ปีคะ"
"8 ปีค่ะ","นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาเทียบโอนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากนักศึกษารับราชการนักศึกษาจะได้รับทุนส่วนลดค่าเทอมนะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาท ตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"และพอดีว่าหนูมีประวัติเรียน มสธ แต่ไม่ได้เรียนแล้วเป็นการลาพักการศึกษาในกรณีนี้สามารถสมัครได้ตามปกติหรือจะต้องลาออกก่อนมั้ยคะ","รูปแบบการเรียนจะเป็นการเรียนออนไลน์และสอบอนไลน์เป็นหลักค่ะนักศึกษา"
"การชำระปีการศึกษาที่ 1 เทอมที่ 1 เดือนแรก เริ่มชำระเดือน มิ.ย.69 ใช่มั้ยคะอาจารย์","ถูกต้องค่ะนักศึกษา"
"สนใจสมัครค่ะอาจารย์","อาจารย์ขออนุญาตส่งฟอร์มสมัครให้นะคะ"
"กรอกแบบฟอร์มเรียบร้อยค่ะอาจารย์","รบกวนนักศึกษาแจ้งชื่อ-นามสกุลให้อาจารย์นะคะ"
"พรชิตา ภูรีโรจน์ค่ะ","รับทราบค่ะนักศึกษา อาจารย์ดำเนินการให้นะคะ"
"สวัสดีค่ะอาจารย์ สอบถามเพิ่มเติมค่ะ หลักสูตรนิติศาสตร์ ของทางที่หนูเรียนเป็นภาคพิเศษใช่ไหมคะ ในกรณีนี้ได้รับการรับรองจากเนติบัณฑิตยสภา ไหมคะ","ในกรณีขอนักศึกษาจะเป้นการเรียนในภาคพิเศษนะคะนักศึกษาและหลักสูตรผ่านการรับรองจากเนติบัญฑิตยสภาและสภาทนายความเรียบร้อยแล้วนะคะ"
"ขอบคุณค่ะอาจารย์","ยินดีค่ะนักศึกษา"
"ขอบคุณค่ะอาจารย์ เบื้องต้นหนูต้องเตรียมตัวอย่างไรบ้างคะ ก่อนจะเริ่มเปิดภาคเรียนค่ะ เรื่องหนังสือ เอกสารต่างๆค่ะ","สวัสดีค่ะ"
"รับทราบค่ะ ขอบคุณค่ะอาจารย์","ยินดีค่ะนักศึกษา"
"ขอบคุณค่ะอาจารย์","ยินดีค่ะนักศึกษา"
"ขออนุญาตเป็นช่วงอาทิตย์หน้าไม่เกินวันศุกร์ได้มั้ยคะอาจารย์","ได้ค่ะนักศึกษา"
"ขอบคุณค่ะอาจารย์ ถ้าชำระแล้วจะรีบแจ้งนะคะ","ยินดีค่ะนักศึกษา หากนักศึกษาทำการชำระค่าเทอมเข้ามาเรียบร้อยแล้วรบกวนนักศึกษาแจ้งชื่อ-นามสกุลและแนบสลิปค่าเทอมให้อาจารย์ทางช่องแชทนี้นะคะ"
"ได้ค่ะอาจารย์","รับทราบค่ะนักศึกษา"
"เรียบร้อยค่ะอาจารย์","รับทราบค่ะนักศึกษา อาจารย์ดำเนินการให้นะคะ"
"ค่ะอาจารย์","สวัสดีค่ะ อาจารย์ขออนุญาตส่งในเสร็จค่าสมัครให้นะคะนักศึกษา"
"ขอบคุณค่ะอาจารย์","ยินดีค่ะนักศึกษา"
"สนใจครับ","Janvara Meerungruang ตอบกลับโฆษณา"
"ขอรายละเอียดค่ะ","สวัสดีค่ะ"
"สนใจครับ","สวัสดีค่ะ"
"สนใจครับ","สวัสดีค่ะ"
"พนักงานราชการ รพ.ค่ะ","ไม่ทราบว่านักศึกษามีประสบการณ์ทำงานประมาณกี่ปีคะ"
"11 ปี ค่ะ","นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาลดระยะเวลาในการเรียนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากตอนนี้ทางมหาวิทยาลัยมีในส่วนของทุนส่วนลดค่าเทอมให้กับนักศึกษาในวัยทำงานอยู่นะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาทตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"เวลา สอบ สอบ  แบบไหนครับ","สวัสดีค่ะ"
"ราชการครู","ไม่ทราบว่านักศึกษามีประสบการณ์ทำงานประมาณกี่ปีคะ"
"8 ครับเปน ครู","นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาลดระยะเวลาในการเรียนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากตอนนี้ทางมหาวิทยาลัยมีในส่วนของทุนส่วนลดค่าเทอมให้กับนักศึกษาในวัยทำงานอยู่นะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาทตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"ขอรายละเอียดค่ะ","สวัสดีค่ะ"
"พนักงานบริษัทเอกชนค่ะ วุฒิ ม.6 ค่ะ","สวัสดีค่ะ ไม่ทราบว่านักศึกษามีประสบการณ์ทำงานประมาณกี่ปีคะ"
"ประมาณ 8 ปีค่ะ","นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาลดระยะเวลาในการเรียนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากตอนนี้ทางมหาวิทยาลัยมีในส่วนของทุนส่วนลดค่าเทอมให้กับนักศึกษาในวัยทำงานอยู่นะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาทตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"ขอทราบรายละเอียดตลอดหลักสูตรค่ะ","สวัสดีค่ะ"
"ตลอดหลักสูตรเท่าไหร่ครับ","สวัสดีค่ะ"
"ค่าเทอมเท่าไรครับ","สวัสดีค่ะ"
"นิติศาสตร์ค่าเทอมเท่าไหร่คะ","สวัสดีค่ะ"
"สนใจครับ","สวัสดีค่ะ"
"หลักสูตรปริญญาตรี","Suttipong Jaikong ได้ตอบกลับโพสต์"
"จ่ายค่าเทอมยังไงครับ","สวัสดีค่ะ"
"เทียบโอน","สวัสดีค่ะ"
"รับราชการ วุฒิ ป ตรี ครับ","ไม่ทราบว่านักศึกษามีประสบการณ์ทำงานประมาณกี่ปีคะ"
"9 ปีครับ","นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาเทียบโอนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากนักศึกษารับราชการนักศึกษาจะได้รับทุนส่วนลดค่าเทอมนะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาท ตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"ค่าเทอมผ่อนชำระได้ไหม","นักศึกษาสามารถผ่อนชำระค่าเทอมได้นะคะ ขั่นต่ำเดือนละ 5,000 บาทค่ะ"
"สนใจครับ","อาจารย์ขออนุญาตส่งฟอร์มสมัครให้นะคะ"
"สนใจครับ","สวัสดีค่ะ"
"ค่าเทอมเท่าไหร่ครับ","สวัสดีค่ะ"
"จบ ปวส.ก่อสร้างครับ มีวุฒิปวช.คอมพิวเตอร์ธุรกิจครับ","ไม่ทราบว่าปัจจุบันนักศึกษาประกอบอาชีพใดและมีประสบการณ์ทำงานประมาณกี่ปีคะ"
"ตำแหน่งนายช่างโยธา. พอดีอยากเรียน รปศ. เห็นเป็นเรียนออนไลน์ ครับ","นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาเทียบโอนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ ค่าเทอมตลอดหลักสูตร 130,000 บาท สามารถผ่อนชำระได้นะคะ"
"นิติศาสตร์สามารถจบได้ 1.5-2 ปีจริงไหมครับ","สวัสดีค่ะ"
"จบวุฒิบริหารธุรกิจ ครับ ปัจจุบันรับราชการครับ","ไม่ทราบว่านักศึกษามีประสบการณ์ทำงานประมาณกี่ปีคะ"
"1 เดือนครับ","นักศึกษาสามารถนำประสบการณ์ทำงานมาลดระยะเวลาในการเรียนได้นะคะะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากนักศึกษารับราชการนักศึกษาจะได้รับทุนส่วนลดค่าเทอมนะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาท ตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"สนใจครับ","สวัสดีค่ะ"
"วุฒิ ป.โท MPA  รับราชการ","ไม่ทราบว่านักศึกษามีประสบการณ์ทำงานประมาณกี่ปีคะ"
"25","นักศึกษาสามารถนำประสบการณ์ทำงานมาลดระยะเวลาในการเรียนได้นะคะะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากนักศึกษารับราชการนักศึกษาจะได้รับทุนส่วนลดค่าเทอมนะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาท ตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"สนใจ","อาจารย์ขออนุญาตส่งฟอร์มสมัครให้นะคะ"
"สนใจครับ","Nawaporn Srikeaw ตอบกลับโฆษณา"
"ต้องเรียนที่มหาลัยหรือเรียนออนไลน์ ค่ะ","สวัสดีค่ะ"
"นักวิเคราะห์นโยบายและแผน ค่ะ","ไม่ทราบว่านักศึกษามีประสบการณ์ทำงานประมาณกี่ปีคะ"
"5 ปีค่ะ","นักศึกษาสามารถนำประสบการณ์ทำงานมาลดระยะเวลาในการเรียนได้นะคะะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากนักศึกษารับราชการนักศึกษาจะได้รับทุนส่วนลดค่าเทอมนะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาท ตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"เรียนกี่ปีคับ","ธนภัทรธรณ์ พรจิตไพศาล ตอบกลับโฆษณา"
"ขอรายละเอียดครับ","สวัสดีค่ะ"
"จบ โท อาชีพนักงานรัฐวิสาหกิจคับ","ไม่ทราบว่านักศึกษามีประสบการณ์ทำงานประมาณกี่ปีคะ"
"8 ปีครับ ตั้งแต่บรรจุคับ","นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาเทียบโอนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากนักศึกษาทำงานในส่วนของภาครัฐ นักศึกษาจะได้รับทุนส่วนลดค่าเทอมนะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาท ตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"สอบถามวิธีเรียนครับ เรียนออนไลน์หรือต้องไปเรียนที่ ม.ครับ","รูปแบบการเรียนจะเป็นการเรียนออนไลน์เป็นหลักค่ะนักศึกษา"
"ขอรายละเอียดคับ","สวัสดีค่ะ"
"กรณีมีการเทียบโอนต้องเรียนวิชาพื้นฐานด้วยไหมครับ หรือเรียนดฉพาะวิชากฎหมายเท่านั้นครับ","อาจารย์ขออนุญาตสอบถามค่ะ ไม่ทราบว่านักศึกษาจบ ป.ตรี สาขาใดมาคะ"
"ป.ตรี บริหาร ป.โทบริหารครับ","หากเป็นกรณีเทียบโอน นักศึกษาจำเป็นจะต้องมีรายวิชาที่เกี่ยวข้องในรายวิชากฎหมายหรือรายวิชาอื่นๆนะคะถึงจะสามารถเทียบโอนได้"
"สนใจครับ","สวัสดีค่ะ"
"สนใจครับ","รบกวนแจ้งข้อมูลเบื้องต้นให้อาจารย์กอนนะคะ"
"ปัจจุบันรับราชการอยู่วิทยาลัยของอาชีวศึกษาตำแหน่งหัวหน้างานปกครองครับ จบ  1.ป.ตรีการจัดการอุตสาหกรรม 2.ป.ตรี เทคโนโลยียานยนต์ 3.ป.โท รัฐประศาสนศาสตรมหาบัณฑิตครับ","เพิ่มป้ายอัตโนมัติแล้ว: ตั้งระยะข้อมูลของลูกค้าเป็น ""การรับข้อมูล"" แล้ว"
"ต้องเข้าเรียนที่มหาวิทยาลัยด้วยใหมครับ","จะเป็นการเรียนออนไลน์เป็นหลักเลยค่ะนักศึกษา"
"ครับเกรงว่าหากเข้าไปเรียนในม.จะไม่มีเวลาเข้าครับ","นักศึกษาไม่ต้องกังวลนะคะ เนื่องจากจะเป็นการเรียนออนไลน์ค่ะ มีเข้ามหาวิทยาลัยเฉพาะตอนสอบปลายภาคเท่านั้นค่ะ"
"☺️","จะเข้ามหาวิทยาลัยสอบปลายภาคเท่านั้นนะคะนักศึกษา ไม่กี่วันค่ะ ถือว่าได้เดินทางไปสักการะพระพุทธชินราชด้วยนะคะ"
"ตรับผม","Thanadeth Nadeth Attha ตอบกลับโฆษณา"
"สนใจครับ","สวัสดีค่ะ"
"ครับจบ รป.ม.ครับปัจจุบันรับราชการครับ","นักศึกษาสามารถเรียนได้นะคะ ซึ่งจะเรียนประมาณ 3 ปีค่ะ เนื่องจากนักศึกษารับราชการ นักศึกษาจะได้รับทุนส่วนลดค่าเทอมนะคะ จากปกติค่าเทอมตลอดหลักสูตร 390,000 บาท เหลือเพียง 350,000 บาทตลอดหลักสูตรค่ะ สามารถผ่อนชำระได้นะคะ"
"สนใจครับ","สวัสดีค่ะ"
"สนใจครับ","นวพล ป้อมไผ่ขวาง ตอบกลับโฆษณา"
"สนใจครับ","สวัสดีค่ะ"
"ปวช","ไม่ทราบว่าปัจจุบันนักศึกษาประกอบอาชีพใดและมีประสบการณ์ทำงานประมาณกี่ปีคะ"
"เรือนจำกลางพิโลกครับ","นักศึกษามีประสบการณ์ทำงานกี่ปีคะ"
"10ปีครับ","นักศึกษาสามารถประสบการณ์ทำงานมาลดระยะเวลาในการเรียนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากนักศึกษารับราชการนักศึกษาจะได้รับทุนส่วนลดค่าเทอมนะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาท ตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"สนใจสมัครครับ","อาจารย์ส่งฟอร์มสมัครให้นะคะนักศึกษา"
"ค่าสมัครเท่าไหร่หรอครับ","ค่าสมัคร 1,500 บาทค่ะนักศึกษา"
"เดี๋ยวแจ่งไปนะครับ","เพิ่มป้ายอัตโนมัติแล้ว: ตั้งระยะข้อมูลของลูกค้าเป็น ""การรับข้อมูล"" แล้ว"
"สวัสดีครับ","สวัสดีค่ะ"
"สมัครเรียนครับ","นักศึกษาสามารถกรอกฟอร์มสมัครที่อาจารย์ส่งให้ได้เลยนะคะ"
"ไม่สะดวกกรอก","รับทราบค่ะนักศึกษา นักศึกษาสามารถชำระค่าสมัครผ่านบัญชีของมหาวิทยาลัยโดยตรงได้เลยนะคะ"
"วันนี้ต้องจ่ายเท่าไหร่ครับ","เบื้องต้นจะมีเพียงค่าสมัคร 1,500 บาทค่ะนักศึกษา"
"แล้วที่เหลือจ่ายเมื่อไหร่ครับ","ในส่วนของค่าเทอมนักศึกษาสามารถเริ่มผ่อนชำระได้ในเดือนถัดไปได้เลยนะคะ"
"นวพล ป้อมไผ่ขวาง","รับทราบค่ะนักศึกษา อาจารย์ดำเนินการให้นะคะ"
"เรียบร้อยแล้วครับ","รับทราบค่ะนักศึกษา หากนักศึกษาสะดวกช่วงใดสามารถกรอกฟอร์มสมัครให้อาจารย์ได้เลยนะคะและเมื่อนักศึกษากรอกฟอร์มสมัครเรียบร้อยแล้วรบกวนแจ้งอาจารย์นะคะ"
"ได้ครับ","รับทราบค่ะนักศึกษา"
"ต้องทำไงครับ","นักศึกษาสามารถกรอกข้อมูลต่างๆในฟอร์มสมัครและสามารถกดส่งฟอร์มได้เลยนะคะ"
"ครับ","สวัสดีค่ะ"
"ได้ครับ","หากนักศึกษารวบรวมเอกสารครบเรียบร้อยแล้ว นักศึกษาสามารถส่งมาให้อาจารย์ทางช่องแชทนี้ได้เลยนะคะ"
"ทราบครับ","สวัสดีค่ะ"
"ครับ","อาจารย์ขออนุญาตสอบถามค่ะ ไม่ทราบว่านักศึกษารวบรวมเอกสารครบเรียบร้อยแล้วหรือไม่คะ หากนักศึกษารวบรวมเอกสารครบเรียบร้อยแล้ว นักศึกษาสามารถส่งมาให้อาจารย์ทางช่องแชทนี้ได้เลยนะคะ เนื่องจากอาจารย์จะทำการส่งเอกสารให้กับทางฝ่ายทะเบียนค่ะ"
"เป็นพรุ่งนี้นะครับอาจาร์ย","รับทราบค่ะนักศึกษา"
"ใช้ได้มั้ยครับ","สวัสดีค่ะ"
"ครับ","และในส่วนของ สำเนาทะเบียนบ้านและใบประกาศนียบัตร(วุฒิการศึกษา) นักศึกษาสามารถถ่ายรูปส่งมาให้อาจารย์ได้เช่นกันนะคะ"
"ใช้ได้มั้ยครับ","ได้ค่ะนักศึกษา"
"ผมส่งเอกสารให้ครบแล้วนะครับ","ไฟล์เอกสารต่างๆที่นักศึกษาทำการส่งมาใหม่ให้อาจารย์จะมีไฟล์สำเนาบัตรประชาชนทั้งหมด3ไฟล์และใบแสดงผลการเรียน1ไฟล์นะคะ"
"ขาดอะไรครับ","สำเนาทะเบียนบ้านและใบประกาศนียบัตร(วุฒิการศึกษา)ค่ะนักศึกษา"
"อันสำเนาทะเบียนบ้าน","อาจารย์ขออนุญาตสอบถามเพิ่มเติมค่ะ ไม่ทราบว่านักศึกษามีบัตรพนักงานหรือสัญญาจ้างหรือไม่คะ เนื่องจากฝ่ายทะเบียนสอบถามมาเพิ่มเติมค่ะ"
